*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=ControlBoard
*Date=22:58:59
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;160.585;-21.5977;0;Bottom;TXT2
2;;;147.979;-21.5037;0;Bottom;TXT5
3;;;219.824;-8.02339;0;Bottom;Via31
4;39k;THT;297.929;-17.5483;-90;Bottom;R35
5;1k;THT;247.129;-18.8183;90;Bottom;R2
6;1k;THT;316.979;-18.8183;90;Bottom;R7
7;;THT;132.829;-48.0283;90;Bottom;MIDI OUT
8;;THT;164.579;-23.8983;90;Bottom;LCD_LED
9;;;33.1342;-8.02339;0;Bottom;Via34
10;;;4.13473;-49.0351;0;Bottom;Hole7
11;;[THT];13.7315;-6.29214;0;Bottom;S10
12;;;151.879;-36.5983;-90;Bottom;BRAIN
13;1k;THT;330.949;-18.8183;90;Bottom;R8
14;;;193.531;-49.0867;0;Bottom;Hole8
15;;DIP16 [THT];220.459;-31.5183;90;Bottom;U1
16;;5 mm [THT];251.828;-12.2283;-90;Bottom;LED2
17;;;105.454;-45.6294;0;Bottom;TXT3
18;;;370.478;-49.0351;0;Bottom;Hole2
19;39k;THT;311.899;-17.5483;-90;Bottom;R36
20;1k;THT;261.099;-18.8183;90;Bottom;R3
21;;;201.409;-8.02339;0;Bottom;Via32
22;39k;THT;242.049;-17.5483;-90;Bottom;R31
23;;[THT];237.732;-6.29214;0;Bottom;S1
24;;;79.4893;-8.02339;0;Bottom;Via35
25;;DIP16 [THT];57.8993;-27.7083;90;Bottom;U2
26;;DIP16 [THT];243.319;-41.6783;90;Bottom;SHR_REL
27;;[THT];265.732;-6.29214;0;Bottom;S3
28;;;148.704;-40.4084;0;Bottom;Via18
29;;;75.6793;-39.1384;0;Bottom;Via30
30;;DIP16 [THT];292.849;-41.6783;-90;Bottom;SHR_LED
31;;;269.481;-43.4564;0;Bottom;Via14
32;;;166.614;-21.5977;0;Bottom;TXT3
33;;;242.684;-42.3134;0;Bottom;Via23
34;39k;THT;57.8993;-12.4683;-90;Bottom;R21
35;;5 mm [THT];237.828;-12.2283;-90;Bottom;LED1
36;;[THT];73.7334;-6.29214;0;Bottom;S11
37;;;89.4611;-49.063;0;Bottom;Hole9
38;;;122.669;-33.4234;0;Bottom;Via29
39;33k;THT;43.9293;-40.4083;90;Bottom;R29
40;;;166.484;-35.3284;0;Bottom;Via20
41;1k;THT;289.039;-18.8183;90;Bottom;R5
42;;THT;125.209;-48.0283;90;Bottom;MIDI IN
43;39k;THT;325.869;-17.5483;-90;Bottom;R37
44;;;22.9037;-46.5749;0;Top;TXT14
